Parent Class	Field	Ontology Identifier	Definition	Guidance	Examples
Sample collection and processing		GENEPIO:0001268			
Sample collection and processing	sample_collector_sample_ID	GENEPIO:0001123	The user-defined name for the sample.	The sample_ID should represent the identifier assigned to the sample at time of collection, for which all the descriptive information applies. If the original sample_ID is unknown or cannot be provided, leave blank or provide a null value.	ABCD123
Sample collection and processing	alternative_sample_ID	GENEPIO:0100427	An alternative sample_ID assigned to the sample by another organization.	Provide any alternative identifiers for the sample here, separated by commas. Alternative identifiers assigned to the sample should be tracked along with original IDs to establish chain of custody. If the information is unknown or cannot be provided, leave blank or provide a null value.	bvn5567, RA1-HH789
Sample collection and processing	sample_collected_by	GENEPIO:0001153	The name of the organization with which the sample collector is affiliated.	Provide the name of the agency, organization or institution that collected the sample in full (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.	Public Health Agency of Canada (PHAC) [GENEPIO:0100551]
Sample collection and processing	sample_collected_by_laboratory_name	GENEPIO:0100428	The specific laboratory affiliation of the sample collector.	Provide the name of the specific laboratory that collected the sample (avoid abbreviations). If the information is unknown or cannot be provided, leave blank or provide a null value.	Topp Lab
Sample collection and processing	sample_collection_project_name	GENEPIO:0100429	The name of the project/initiative/program for which the sample was collected.	Provide the name of the project and/or the project ID here. If the information is unknown or cannot be provided, leave blank or provide a null value.	Watershed Project (HA-120)
Sample collection and processing	sample_plan_name	GENEPIO:0100430	The name of the study design for a surveillance project.	Provide the name of the sample plan used for sample collection. If the information is unknown or cannot be provided, leave blank or provide a null value.	National Microbiological Baseline Study in Broiler Chicken
Sample collection and processing	sample_plan_ID	GENEPIO:0100431	The identifier of the study design for a surveillance project.	Provide the identifier of the sample plan used for sample collection. If the information is unknown or cannot be provided, leave blank or provide a null value.	2001_M205
Sample collection and processing	sample_collector_contact_name	GENEPIO:0100432	The name or job title of the contact responsible for follow-up regarding the sample.	Provide the name of an individual or their job title. As personnel turnover may render the contact's name obsolete, it is more preferable to provide a job title for ensuring accuracy of information and institutional memory. If the information is unknown or cannot be provided, leave blank or provide a null value.	Enterics Lab Manager
Sample collection and processing	sample_collector_contact_email	GENEPIO:0001156	The email address of the contact responsible for follow-up regarding the sample.	Provide the email associated with the listed contact. As personnel turnover may render an individual's email obsolete, it is more preferable to provide an address for a position or lab, to ensure accuracy of information and institutional memory. If the information is unknown or cannot be provided, leave blank or provide a null value.	johnnyblogs@lab.ca
Sample collection and processing	purpose_of_sampling	GENEPIO:0001198	The reason that the sample was collected.	The reason a sample was collected may provide information about potential biases in sampling strategy. Provide the purpose of sampling from the picklist in the template. Most likely, the sample was collected for Diagnostic testing. The reason why a sample was originally collected may differ from the reason why it was selected for sequencing, which should be indicated in the "purpose of sequencing" field.	Surveillance [GENEPIO:0100004]
Sample collection and processing	presampling_activity	GENEPIO:0100433	The activities or variables introduced upstream of sample collection that may affect the sample collected.	If there was presampling activity that would affect the sample prior to collection (this is different than sample processing which happens after the sample is collected), provide the experimental activities by selecting one or more values from the template pick list. If the information is unknown or cannot be provided, leave blank or provide a null value.	Antimicrobial pre-treatment [GENEPIO:0100537]
Sample collection and processing	presampling_activity_details	GENEPIO:0100434	The details of the activities or variables introduced upstream of sample collection that may affect the sample collected.	Briefly describe the presampling activity details using free text.	Chicken feed containing X amount of novobiocin was fed to chickens for 72 hours prior to collection of litter.
Sample collection and processing	specimen_processing	GENEPIO:0100435	The processing applied to samples post-collection, prior to further testing, characterization, or isolation procedures.	Provide the sample processing information by selecting a value from the template pick list. If the information is unknown or cannot be provided, leave blank or provide a null value.	Samples pooled [OBI:0600016]
Sample collection and processing	geo_loc_name (country)	GENEPIO:0001181	The country of origin of the sample.	Provide the name of the country where the sample was collected. Use the controlled vocabulary provided in the template pick list.  If the information is unknown or cannot be provided, provide a null value.	Canada [GAZ:00002560]
Sample collection and processing	geo_loc_name (state/province/region)	GENEPIO:0001185	The state/province/territory of origin of the sample.	Provide the name of the province/state/region where the sample was collected.  If the information is unknown or cannot be provided, provide a null value.	British Columbia [GAZ:00002562]
Sample collection and processing	geo_loc_name (site)	GENEPIO:0100436	The name of a specific geographical location e.g. Credit River (rather than river). 	Provide the name of the specific geographical site using a specific noun (a word that names a certain place, thing).	Credit River
Sample collection and processing	food_product_origin geo_loc_name (country)	GENEPIO:0100437	The country of origin of a food product.	If a food product was sampled and the food product was manufactured outside of Canada, provide the name of the country where the food product originated by selecting a value from the template pick list. If the information is unknown or cannot be provided, leave blank or provide a null value.	United States of America [GAZ:00002459]
Sample collection and processing	host_origin geo_loc_name (country)	GENEPIO:0100438	The country of origin of the host.	If a sample is from a human or animal host that originated from outside of Canada, provide the the name of the country where the host originated by selecting a value from the template pick list. If the information is unknown or cannot be provided, leave blank or provide a null value.	South Africa [GAZ:00001094]
Sample collection and processing	geo_loc latitude	GENEPIO:0100309	The latitude coordinates of the geographical location of sample collection.	If known, provide the degrees latitude.  Do NOT simply provide latitude of the institution if this is not where the sample was collected, nor the centre of the city/region where the sample was collected as this falsely implicates an existing geographical location and creates data inaccuracies. If the information is unknown or cannot be provided, leave blank or provide a null value.	38.98 N
Sample collection and processing	geo_loc longitude	GENEPIO:0100310	The longitude coordinates of the geographical location of sample collection.	If known, provide the degrees longitude.  Do NOT simply provide longitude of the institution if this is not where the sample was collected, nor the centre of the city/region where the sample was collected as this falsely implicates an existing geographical location and creates data inaccuracies. If the information is unknown or cannot be provided, leave blank or provide a null value.	77.11 W
Sample collection and processing	sample_collection_date	GENEPIO:0001174	The date on which the sample was collected.	Provide the date according to the ISO 8601 standard "YYYY-MM-DD", "YYYY-MM" or "YYYY".	2020-10-30
Sample collection and processing	sample_received_date	GENEPIO:0001179	The date on which the sample was received.	Provide the date according to the ISO 8601 standard "YYYY-MM-DD", "YYYY-MM" or "YYYY".	2020-11-15
Sample collection and processing	original_sample_description	GENEPIO:0100439	The original sample description provided by the sample collector.	Provide the sample description provided by the original sample collector. The original description is useful as it may provide further details, or can be used to clarify higher level classifications.	RTE Prosciutto from deli
Sample collection and processing	environmental_site	GENEPIO:0001232	An environmental location may describe a site in the natural or built environment e.g. hospital, wet market, bat cave.	If applicable, provide the standardized term and ontology ID for the environmental site. The standardized term can be sourced from these look-up services: https://www.ebi.ac.uk/ols/ontologies/envo or https://www.ebi.ac.uk/ols/ontologies/genepio.	Poultry hatchery [ENVO:01001874]
Sample collection and processing	water_depth	GENEPIO:0100440	The depth of some water.	Provide the depth of water with a value and unit.	5m
Sample collection and processing	air_temperature	GENEPIO:0100441	The temperature of some air.	Provide the temperature of the air with a value and unit. Do not provide a symbol for degree e.g. oC	25C
Sample collection and processing	weather_type	GENEPIO:0100442	The state of the atmosphere at a place and time as regards heat, dryness, sunshine, wind, rain, etc.	Provide the weather conditions at the time of sample collection.	Rain [ENVO:01001564]
Sample collection and processing	animal_or_plant_population	GENEPIO:0100443	The type of animal or plant population inhabiting an area.	This field should be used when a sample is taken from an environmental location inhabited by many individuals of a specific type, rather than describing a sample taken from one particular host. If applicable, provide the standardized term and ontology ID for the animal or plant population name. The standardized term can be sourced from this look-up service: https://www.ebi.ac.uk/ols/ontologies/genepio. If not applicable, leave blank.	Turkey [NCBITaxon:9103]
