Field	Term	Ontology Identifier	Definition	Guidance	Editor Note
null values					
null values	Not Applicable	GENEPIO:0001619	A categorical choice recorded when a datum does not apply to a given context.		
null values	Not Collected	GENEPIO:0001620	A categorical choice recorded when a datum was not measured or collected.		
null values	Not Provided	GENEPIO:0001668	A categorical choice recorded when a datum was collected but is not currently provided in the information being shared. This value indicates the information may be shared at the later stage.		
null values	Missing	GENEPIO:0001618	A categorical choice recorded when a datum is not included for an unknown reason.		
null values	Restricted Access	GENEPIO:0001810	A categorical choice recorded when a given datum is available but not shared publicly because of information privacy concerns.		
sample_collected_by					
collected_by	Public Health Agency of Canada (PHAC)	GENEPIO:0100551	The Public Health Agency of Canada is an agency of the Government of Canada that is responsible for public health, emergency preparedness and response, and infectious and chronic disease control and prevention.		
collected_by	Canadian Food Inspection Agency (CFIA)	GENEPIO:0100552	The Canadian Food Inspection Agency is a regulatory agency that is dedicated to the safeguarding of food, plants, and animals in Canada		
collected_by	Agriculture and Agri-Food Canada (AAFC)	GENEPIO:0100553	Agriculture and Agri-Food Canada is the department of the Government of Canada responsible for the federal regulation of agriculture, including policies governing the production, processing, and marketing of all farm, food, and agri-based products. 		
collected_by	Health Canada (HC)	GENEPIO:0100554	Health Canada is the department of the Government of Canada responsible for national health policy. The department itself is also responsible for numerous federal health-related agencies, including the Canadian Food Inspection Agency and the Public Health Agency of Canada, among others.		
collected_by	Environment and Climate Change Canada (ECCC)	GENEPIO:0100555	Environment and Climate Change Canada, is the department of the Government of Canada responsible for coordinating environmental policies and programs, as well as preserving and enhancing the natural environment and renewable resources. It is also colloquially known by its former name, Environment Canada. 		
collected_by	Fisheries and Oceans Canada (DFO)	GENEPIO:0100556	Fisheries and Oceans Canada, is a department of the Government of Canada that is responsible for developing and implementing policies and programs in support of Canada's economic, ecological and scientific interests in oceans and inland waters.		
purpose_of_sampling					
purpose_of_sampling	Cluster/Outbreak investigation	GENEPIO:0100001	A sampling strategy in which individuals are chosen for investigation into a disease cluster or outbreak.		
purpose_of_sampling	Diagnostic testing	GENEPIO:0100002	A sampling strategy in which individuals are sampled in the context of diagnostic testing.		
purpose_of_sampling	Environmental testing	GENEPIO:0100548	A sampling strategy in which environments are sampled in the context of testing for the presence of, or change in the levels of, chemicals, pathogens or other phenomena.		
purpose_of_sampling	Research	GENEPIO:0100003	A sampling strategy in which individuals are sampled in order to perform research.		
purpose_of_sampling	      Clinical trial	GENEPIO:0100549	A sampling strategy in which individuals are sampled in the context of experiments or observations performed as part of clinical research. 		
purpose_of_sampling	      Field experiment	GENEPIO:0100550	A sampling strategy in which samples are taken during real-life experiments which test directly whether proposed interventions actually work. 		
